alert,cdi,code,detail,dmin,felt,gap,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
,,20270210,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270210&format=geojson,,,,",ak20270210,",1.1,ml,,ak,,"3km E of Big Lake, Alaska",0.42,19,",ak,",reviewed,1538571769005,"M 1.1 - 3km E of Big Lake, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219840779,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270210
,,37378058,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37378058&format=geojson,0.08213,,93.0,",ci37378058,",1.28,ml,,ci,45.0,"9km N of Borrego Springs, CA",0.21,25,",ci,",reviewed,1538570880560,"M 1.3 - 9km N of Borrego Springs, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,",-480.0,1538573438750,https://earthquake.usgs.gov/earthquakes/eventpage/ci37378058
,,00659421,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00659421&format=geojson,0.245,,178.7,",nn00659421,",0.7,ml,,nn,15.0,"40km ESE of Big Pine, California",0.1522,8,",nn,",reviewed,1538570777195,"M 0.7 - 40km ESE of Big Pine, California",0,earthquake,",geoserve,origin,phase-data,",-480.0,1538618681740,https://earthquake.usgs.gov/earthquakes/eventpage/nn00659421
,,1000h68e,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000h68e&format=geojson,2.745,,80.0,",us1000h68e,",5.3,mb,,us,,"29km SSW of Nggongi, Indonesia",1.2,432,",us,",reviewed,1538570285120,"M 5.3 - 29km SSW of Nggongi, Indonesia",1,earthquake,",geoserve,moment-tensor,origin,phase-data,",480.0,1538688306040,https://earthquake.usgs.gov/earthquakes/eventpage/us1000h68e
,,20270208,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270208&format=geojson,,,,",ak20270208,",1.4,ml,,ak,,"102km NNW of Arctic Village, Alaska",0.49,30,",ak,",reviewed,1538569838755,"M 1.4 - 102km NNW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219840241,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270208
,,37378042,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37378042&format=geojson,0.004418,,59.0,",ci37378042,",0.48,ml,,ci,19.0,"10km NE of Aguanga, CA",0.12,4,",ci,",reviewed,1538569382170,"M 0.5 - 10km NE of Aguanga, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,",-480.0,1538573446460,https://earthquake.usgs.gov/earthquakes/eventpage/ci37378042
,,37378034,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37378034&format=geojson,0.009848,,32.0,",ci37378034,",1.13,ml,,ci,45.0,"9km NE of Aguanga, CA",0.2,20,",ci,",reviewed,1538569151320,"M 1.1 - 9km NE of Aguanga, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,",-480.0,1538573510030,https://earthquake.usgs.gov/earthquakes/eventpage/ci37378034
,,37378002,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37378002&format=geojson,0.08853,,41.0,",ci37378002,",1.04,ml,,ci,27.0,"5km SSE of Wrightwood, CA",0.22,17,",ci,",reviewed,1538568827440,"M 1.0 - 5km SSE of Wrightwood, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1538573416776,https://earthquake.usgs.gov/earthquakes/eventpage/ci37378002
,,73092996,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73092996&format=geojson,0.01448,,55.0,",nc73092996,",0.56,md,,nc,27.0,"6km NW of The Geysers, CA",0.04,5,",nc,",reviewed,1538568266910,"M 0.6 - 6km NW of The Geysers, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1538592122057,https://earthquake.usgs.gov/earthquakes/eventpage/nc73092996
,,1000h681,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000h681&format=geojson,2.045,,184.0,",ak20270202,us1000h681,",3.6,ml,,us,,"223km SE of Kodiak, Alaska",0.53,199,",ak,us,",reviewed,1538568198540,"M 3.6 - 223km SE of Kodiak, Alaska",0,earthquake,",geoserve,origin,phase-data,",-600.0,1539219839372,https://earthquake.usgs.gov/earthquakes/eventpage/us1000h681
